Name,Business,Their role,Tier,Segment,Priority,How I know them,Phone,IG / LinkedIn,Website,"What they run (ask, don't research)",Status,Last contact,Next action,Notes
,IMEX Service,,3 - Confirmed business cooler,B2B,,Web search Sep 2026 - unverified,,,,,Not contacted,,"Sunbiz for officer name, then call","AUTO. Aftermarket spare parts, Japanese and Korean vehicles."
,IG Tuning Miami,,3 - Confirmed business cooler,B2B,,Web search Sep 2026 - unverified,,,igtuningmiami.com,,Not contacted,,"Sunbiz for officer name, then call","AUTO. 30 years. Car accessories wholesale, network across Americas and Caribbean."
,Mighty Auto Parts - North Miami,,3 - Confirmed business cooler,B2B,,Web search Sep 2026 - unverified,,,,,Not contacted,,"Sunbiz for officer name, then call","AUTO. 2300 NE 151st St, North Miami. FLAG: franchise - check whether the franchisor mandates processing before working it."
,Magnolia Fashion Wholesale,,3 - Confirmed business cooler,B2B,,Web search Sep 2026 - unverified,,,,,Not contacted,,"Sunbiz for officer name, then call",APPAREL. Miami Fashion and Arts District. Women's fashion wholesale.
,Wings2Fashion,,3 - Confirmed business cooler,B2B,,Web search Sep 2026 - unverified,,,wings2fashion.com,,Not contacted,,"Sunbiz for officer name, then call","APPAREL. Boutique clothing supplier and manufacturer, Miami."
,Miami Style,,3 - Confirmed business cooler,B2B,,Web search Sep 2026 - unverified,,,,,Not contacted,,"Sunbiz for officer name, then call","APPAREL. Lifestyle apparel, high-end brands, wholesale distribution."
,Hemisphere Inc,,3 - Confirmed business cooler,B2B,,Web search Sep 2026 - unverified,,,,,Not contacted,,"Sunbiz for officer name, then call","APPAREL. Toddler, infant and newborn apparel, full range."
,Bonita Fashion / Giti Wholesale,,3 - Confirmed business cooler,B2B,,Web search Sep 2026 - unverified,,,,,Not contacted,,"Sunbiz for officer name, then call",APPAREL. Global wholesale clothing seller.
,Hannah Bella Collection,,3 - Confirmed business cooler,B2B,,Web search Sep 2026 - unverified,,,,,Not contacted,,"Sunbiz for officer name, then call",APPAREL. Downtown Miami fashion district. Designer items at wholesale.
,Samuel Kunstler Textiles Inc,,3 - Confirmed business cooler,B2B,,Web search Sep 2026 - unverified,,,,,Not contacted,,"Sunbiz for officer name, then call","APPAREL. Textiles, Miami."
,Sunbrand,,3 - Confirmed business cooler,B2B,,Web search Sep 2026 - unverified,,,,,Not contacted,,"Sunbiz for officer name, then call","APPAREL. Apparel and textile services, Miami."
,Allsteel Building Material International,,3 - Confirmed business cooler,B2B,,Web search Sep 2026 - unverified,,,,,Not contacted,,"Sunbiz for officer name, then call",BUILDING. Medley. Steel and building materials.
,Nachon Lumber and Hardware,,3 - Confirmed business cooler,B2B,,Web search Sep 2026 - unverified,,,nachonlumberandhardware.com,,Not contacted,,"Sunbiz for officer name, then call","BUILDING. Hialeah and Miami. 43 years in business - long-tenured, likely legacy processor."
,Olympia Building Supplies,,3 - Confirmed business cooler,B2B,,Web search Sep 2026 - unverified,,,,,Not contacted,,"Sunbiz for officer name, then call","BUILDING. Construction materials, Miami and Hialeah."
,Above Interior Distributors,,3 - Confirmed business cooler,B2B,,Web search Sep 2026 - unverified,,,,,Not contacted,,"Sunbiz for officer name, then call","BUILDING. Interior construction materials, Miami area."
,Wholesale Building Products,,3 - Confirmed business cooler,B2B,,Web search Sep 2026 - unverified,,,wholesalebuildingproducts.com,,Not contacted,,"Sunbiz for officer name, then call","BUILDING. Building materials and wood products, statewide Florida."
,John Abell Corp,,3 - Confirmed business cooler,B2B,,Web search Sep 2026 - unverified,,,johnabellcorp.com,,Not contacted,,"Sunbiz for officer name, then call","BUILDING. Concrete supplies and materials, Miami."
,Shell Lumber & Hardware,,3 - Confirmed business cooler,B2B,,Web search Sep 2026 - unverified,,,,,Not contacted,,"Sunbiz for officer name, then call",BUILDING. Long-established Miami lumber and hardware.
,FPG Wholesale,,3 - Confirmed business cooler,B2B,,Web search Sep 2026 - unverified,,,,,Not contacted,,"Sunbiz for officer name, then call","BUILDING. Building supplies wholesale, Miami."
,American Fasteners,,3 - Confirmed business cooler,B2B,,Web search Sep 2026 - unverified,,,,,Not contacted,,"Sunbiz for officer name, then call","BUILDING. Fasteners and hardware wholesale, Miami."
,International Plywood,,3 - Confirmed business cooler,B2B,,Web search Sep 2026 - unverified,,,,,Not contacted,,"Sunbiz for officer name, then call","BUILDING. Plywood and wood products, Miami."
,Everglades Lumber & Building Supply,,3 - Confirmed business cooler,B2B,,Web search Sep 2026 - unverified,,,,,Not contacted,,"Sunbiz for officer name, then call","BUILDING. Lumber and building supply, Miami."
,Cemex - Medley,,3 - Confirmed business cooler,B2B,,Web search Sep 2026 - unverified,,,,,Not contacted,,"Sunbiz for officer name, then call","BUILDING. FLAG: multinational. Centralized procurement, out of scope for an agent. Listed only so it is not re-researched."
